Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,ResultsScore
204,7.16,0,Chauntae BAYNE,04 APR 1984,USA,5,"Albuquerque, NM (USA) (i)",23 FEB 2014,1164
204,7.16,0,Shania COLLINS,14 NOV 1996,USA,1,"New York, NY (USA) (i)",24 FEB 2019,1164
204,7.16,0,Candace HILL,11 FEB 1999,USA,1h1,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1164
204,7.16,0,Lotta KEMPPINEN,01 APR 1998,FIN,1,"Hipposhalli, Jyväskylä (FIN) (i)",20 FEB 2021,1164
204,7.16,0,Maria Isabel PÉREZ,01 MAR 1993,ESP,1,"Pistas Expourense, Ourense (ESP) (i)",26 FEB 2022,1164
204,7.16,0,Shawnti JACKSON,02 MAY 2005,USA,5,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2023,1164
204,7.16,+0.4,Jodean WILLIAMS,11 NOV 1993,JAM,1,"GC Foster College, Spanish Town (JAM)",10 FEB 2024,1164
204,7.16,0,Semira KILLEBREW,30 MAR 2001,USA,3h2,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1164
230,7.17,0,Andrea SAUNDERS,24 NOV 1952,GBR,2,"Scandinavium, Göteborg (SWE) (i)",10 MAR 1974,1161
230,7.17,0,Lidiya YELAGINA,01 APR 1964,URS,h,Volgograd (URS) (i),30 JAN 1987,1161
230,7.17,0,Natalya MERZLYAKOVA,30 MAY 1965,RUS,3,Lipetsk (RUS) (i),26 FEB 1994,1161
230,7.17,0,Celena MONDIE-MILNER,06 AUG 1968,USA,2,"Atlanta, GA (USA) (i)",02 MAR 1996,1161
230,7.17,0,Anzhelika SHEVCHUK,23 FEB 1969,UKR,1,Zaporozhye (UKR) (i),16 JAN 1999,1161
230,7.17,0,Cheryl TAPLIN,02 SEP 1972,USA,3,"Atlanta, GA (USA) (i)",27 FEB 1999,1161
230,7.17,0,Andrea PHILIPP,29 JUL 1971,GER,5sf2,"Green Dome, Maebashi (JPN) (i)",07 MAR 1999,1161
230,7.17,0,Irina KHABAROVA,18 MAR 1966,RUS,1,Omsk (RUS) (i),24 DEC 2005,1161
230,7.17,0,Shayla SANDERS,06 JAN 1994,USA,1,"Fayetteville, AR (USA) (i)",30 JAN 2016,1161
230,7.17,0,Rosângela SANTOS,20 DEC 1990,BRA,4,Berlin (GER) (i),13 FEB 2016,1161
230,7.17,0,Yongli WEI,11 OCT 1991,CHN,1f1,Nanjing (CHN) (i),28 FEB 2016,1161
230,7.17,0,Ashley HENDERSON,04 DEC 1995,USA,1,"Albuquerque, NM (USA) (i)",25 FEB 2017,1161
230,7.17,0,Deajah STEVENS,19 MAY 1995,USA,2h1,"College Station, TX (USA) (i)",10 MAR 2017,1161
230,7.17,0,Kate HALL,12 JAN 1997,USA,2h1,"College Station, TX (USA) (i)",09 MAR 2018,1161
230,7.17,0,Jayla KIRKLAND,13 FEB 1999,USA,1,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",11 JAN 2020,1161
230,7.17,0,Chelsea FRANCIS,DEC 1997,USA,1,"Houston-Yeoman FH, Houston, TX (USA) (i)",31 JAN 2020,1161
230,7.17,0,Ka'Tia SEYMOUR,03 OCT 1997,USA,1f2,"Loftus Sports Center, Notre Dame, IN (USA) (i)",29 FEB 2020,1161
230,7.17,0,Xiaojing LIANG,07 APR 1997,CHN,2f1,"Norton Sports Center, Louisville, KY (USA) (i)",12 FEB 2022,1161
230,7.17,-0.2,Anthonique STRACHAN,22 AUG 1993,BAH,2f2,"National Stadium, Kingston (JAM)",19 FEB 2022,1162
230,7.17,0,Lorène Dorcas BAZOLO,04 MAY 1983,POR,1h1,"Centro Desportivo Nacional do Jamor, Lisboa (POR) (i)",06 MAR 2022,1161
230,7.17,0,Rhasidat ADELEKE,29 AUG 2002,IRL,3h2,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",11 MAR 2022,1161
230,7.17,0,Imani LANSIQUOT,17 DEC 1997,GBR,1er1,"Newham Leisure Centre, London (GBR) (i)",01 FEB 2023,1161
230,7.17,0,Arialis GANDULLA,22 JUN 1995,POR,5,"Ataköy Arena, Istanbul (TUR) (i)",03 MAR 2023,1161
230,7.17,0,Alyssa COLBERT,28 FEB 2003,USA,1,"Ahearn Field House, Manhattan, KS (USA) (i)",02 FEB 2024,1161
254,7.18,0,Ewa PISIEWICZ,07 MAY 1962,POL,1,Karlsruhe (GER) (i),31 JAN 1986,1158
254,7.18,0,Tatyana PAPILINA,14 JAN 1967,URS,5f1,Moskva (URS) (i),25 FEB 1989,1158
254,7.18,0,Zoya SOKOLOVA,03 APR 1970,RUS,3,Moskva (RUS) (i),26 JAN 1993,1158
254,7.18,0,Yelena DUBTSOVA,06 MAY 1971,RUS,4,Lipetsk (RUS) (i),26 FEB 1994,1158
254,7.18,0,Mary ONYALI-OMAGBEMI,03 FEB 1968,NGR,1,Karlsruhe (GER) (i),12 FEB 1995,1158
254,7.18,0,Sandra CITTÉ,28 MAR 1976,FRA,2,Liévin (FRA) (i),13 FEB 1999,1158
254,7.18,0,Léonie Myriam MANI,21 MAY 1977,CMR,3,Dortmund (GER) (i),30 JAN 2000,1158
254,7.18,0,Natalya MIKHAYLOVSKAYA,20 NOV 1975,RUS,2,Samara (RUS) (i),01 FEB 2001,1158
254,7.18,0,Natasha JOE-MAYERS,10 MAR 1979,VIN,1,"Flagstaff, AZ (USA) (i)",09 FEB 2002,1158
254,7.18,0,Vida ANIM,07 DEC 1983,GHA,1,Chemnitz (GER) (i),27 FEB 2004,1158
254,7.18,0,LaKeisha BACKUS,25 DEC 1976,USA,3,"Boston, MA (USA) (i)",28 FEB 2004,1158
254,7.18,0,Fana ASHBY,15 JUN 1981,TTO,1,"Fayetteville, AR (USA) (i)",12 MAR 2005,1158
254,7.18,0,Olga KHALANDYREVA,13 NOV 1981,RUS,4h,Samara (RUS) (i),04 FEB 2006,1158
254,7.18,0,Marshevet HOOKER,25 SEP 1984,USA,1h3,"Fayetteville, AR (USA) (i)",10 MAR 2006,1158
254,7.18,0,Samantha HENRY-ROBINSON,25 SEP 1988,JAM,2,"New York, NY (USA) (i)",08 FEB 2008,1158
254,7.18,0,Anna GEFLIKH,01 FEB 1983,RUS,1,Moskva (RUS) (i),01 FEB 2009,1158
254,7.18,0,Gabrielle MAYO,26 JAN 1989,USA,2,"Fayetteville, AR (USA) (i)",13 MAR 2010,1158
254,7.18,0,Kenyanna WILSON,27 OCT 1988,USA,3,"College Station, TX (USA) (i)",12 MAR 2011,1158
254,7.18,0,Aleen BAILEY,25 NOV 1980,JAM,2,Karlsruhe (GER) (i),12 FEB 2012,1158
254,7.18,0,Flings OWUSU-AGYAPONG,16 OCT 1988,GHA,1f2,"New York, NY (USA) (i)",16 JAN 2015,1158
254,7.18,0,Ky WESTBROOK,25 FEB 1996,USA,2f2,"Seattle, WA (USA) (i)",17 JAN 2015,1158
254,7.18,0,Gemma ACHEAMPONG,13 FEB 1993,GHA,1,"Annapolis, MD (USA) (i)",22 FEB 2015,1158
254,7.18,0,Natalia POHREBNIAK,19 FEB 1988,UKR,1f2,Zaporozhye (UKR) (i),27 JAN 2016,1158
254,7.18,+1.7,Audra SEGREE,10 MAY 1990,JAM,1f2,Kingston (JAM),30 JAN 2016,1158
254,7.18,0,Schillonie CALVERT-POWELL,27 JUL 1988,JAM,1h1,"Flagstaff, AZ (USA) (i)",17 FEB 2017,1158
254,7.18,0,Makenzie DUNMORE,07 OCT 1997,USA,1,"Albuquerque, NM (USA) (i)",10 FEB 2018,1158
254,7.18,0,Kandace THOMAS,06 FEB 1993,USA,1,"Alamosa, CO (USA) (i)",23 FEB 2019,1158
254,7.18,0,Brandee PRESLEY,11 JUN 2000,USA,1,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",10 JAN 2020,1158
254,7.18,0,Dajaz DEFRAND,16 OCT 2003,USA,2,"Convention Center, Albuquerque, NM (USA) (i)",11 FEB 2023,1158
254,7.18,0,Amira YOUNG,15 JUN 2000,USA,1,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA) (i)",25 FEB 2023,1158
254,7.18,+0.6,Tia CLAYTON,17 AUG 2004,JAM,3f2,"National Stadium, Kingston (JAM)",27 JAN 2024,1158
254,7.18,0,Dennisha PAGE,,USA,1sf2,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",09 FEB 2024,1158
254,7.18,0,Delphine NKANSA,21 SEP 2001,BEL,2h2,"AccorHotels Arena de Bercy, Paris (FRA) (i)",11 FEB 2024,1158
254,7.18,0,Jaël BESTUÉ,24 SEP 2000,ESP,1sf1,"Pistas Expourense, Ourense (ESP) (i)"80,7.09,0,LaKya BROOKINS,28 JUL 1989,USA,1,"College Station, TX (USA) (i)",12 MAR 2011,1188
80,7.09,0,Lekeisha LAWSON,03 JUN 1987,USA,2,"Albuquerque, NM (USA) (i)",23 FEB 2014,1188
80,7.09,0,Michelle-Lee AHYE,10 APR 1992,TTO,1h4,"Oregon Convention Center, Portland, OR (USA) (i)",19 MAR 2016,1188
80,7.09,0,Carina HORN,09 MAR 1989,RSA,2,Metz (FRA) (i),11 FEB 2018,1188
80,7.09,0,Kristina MAKARENKO,28 FEB 1997,RUS,1,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2020,1188
80,7.09,0,Twanisha TERRY,24 JAN 1999,USA,1h2,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",12 MAR 2021,1188
80,7.09,0,Melissa JEFFERSON,21 FEB 2001,USA,1,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",12 MAR 2022,1188
80,7.09,0,Rosemary CHUKWUMA,05 DEC 2001,NGR,1,"Sports Performance Center, Lubbock, TX (USA) (i)",27 JAN 2023,1188
80,7.09,0,Patrizia VAN DER WEKEN,12 NOV 1999,LUX,1,"Coque Sport Center, Luxembourg (LUX) (i)",21 JAN 2024,1188
80,7.09,0,Celera BARNES,02 DEC 1998,USA,3,"Convention Center, Albuquerque, NM (USA) (i)",17 FEB 2024,1188
99,7.1,0,Ulrike SARVARI,22 JUN 1964,FRG,1,"Kelvin Hall, Glasgow (GBR) (i)",03 MAR 1990,1185
99,7.1,0,Yulia NESTSIARENKA,15 JUN 1979,BLR,1h,Minsk (BLR) (i),30 JAN 2004,1185
6,1154
161,7.14,0,Jamile SAMUEL,24 APR 1992,NED,2h2,Berlin (GER) (i),13 FEB 2016,1171,66297c721a7e37432764dd9d
161,7.14,0,Rebekka HAASE,02 JAN 1993,GER,1,Erfurt (GER) (i),27 JAN 2017,1171,66297c721a7e37432764dd9e
161,7.14,0,Gayon EVANS,15 JAN 1990,JAM,1,"Messehalle, Karlsruhe (GER) (i)",04 FEB 2017,1171,66297c721a7e37432764dd9f
161,7.14,0,Kortnei JOHNSON,11 AUG 1997,USA,2,"Baton Rouge, LA (USA) (i)",15 FEB 2019,1171,66297c721a7e37432764dda0
161,7.14,0,Vitoria Cristina ROSA,12 JAN 1996,BRA,3sf3,"Štark Arena, Beograd (SRB) (i)",18 MAR 2022,1171,66297c721a7e37432764dda1
161,7.14,0,Favour OFILI,31 DEC 2002,NGR,2h1,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,1171,66297c721a7e37432764dda2
176,7.15,0,Marina KLEYANKINA-MARKINA,19 MAR 1962,URS,1,Moskva (URS) (i),25 FEB 1987,1168,66297c721a7e37432764dda3
176,7.15,0,Dawn SOWELL,27 MAR 1966,USA,1,"Inglewood, CA (USA) (i)",17 FEB 1989,1168,66297c721a7e37432764dda4
176,7.15,0,Evelyn ASHFORD,15 APR 1957,USA,1,Osaka (JPN) (i),12 FEB 1990,1168,66297c721a7e37432764dda5
176,7.15,0,Irina SLYUSAR,19 MAR 1963,UKR,1h,Kyiv (UKR) (i),18 JAN 1992,1168,66297c721a7e37432764dda6
176,7.15,0,Teresa NEIGHBORS,09 MAY 1967,USA,3,"New York, NY (USA) (i)",28 FEB 1992,1168,66297c721a7e37432764dda7
176,7.15,0,Inger MILLER,12 JUN 1972,USA,2,"Atlanta, GA (USA) (i)",27 FEB 1999,1168,66297c721a7e37432764dda8
176,7.15,0,Wendy HARTMAN-SEEGERS,28 FEB 1976,RSA,5sf1,"Green Dome, Maebashi (JPN) (i)",07 MAR 1999,1168,66297c721a7e37432764dda9
176,7.15,0,Tonya CARTER,22 MAR 1978,USA,1,"Blacksburg, VA (USA) (i)",19 FEB 2000,1168,66297c721a7e37432764ddaa
176,7.15,0,Karin MAYR-KRIFKA,04 JUN 1971,AUT,1,Wien (AUT) (i),24 FEB 2001,1168,66297c721a7e37432764ddab
176,7.15,0,Tetyana TKALICH,30 MAY 1975,UKR,1,Zaporozhye (UKR) (i),29 JAN 2004,1168,66297c721a7e37432764ddac
176,7.15,0,Yelena NEVMERZHITSKAYA,27 JUL 1980,BLR,1,Minsk (BLR) (i),28 JAN 2005,1168,66297c721a7e37432764ddad
176,7.15,0,Courtney CHAMPION,10 JUN 1986,USA,2,"Lexington, KY (USA) (i)",25 FEB 2007,1168,66297c721a7e37432764ddae
176,7.15,0,Shalonda SOLOMON,19 DEC 1985,USA,3,"Albuquerque, NM (USA) (i)",27 FEB 2011,1168,66297c721a7e37432764ddaf
176,7.15,0,Octavious FREEMAN,20 APR 1992,USA,2,"Nampa, ID (USA) (i)",10 MAR 2012,1168,66297c721a7e37432764ddb0
176,7.15,0,Jasmine TODD,23 DEC 1993,USA,1f2,"Seattle, WA (USA) (i)",17 JAN 2015,1168,66297c721a7e37432764ddb1
176,7.15,0,Jenna PRANDINI,20 NOV 1992,USA,1h1,"Fayetteville, AR (USA) (i)",13 MAR 2015,1168,66297c721a7e37432764ddb2
176,7.15,0,Natasha MORRISON,17 NOV 1992,JAM,1sf1,"Houston, TX (USA) (i)",12 FEB 2016,1168,66297c721a7e37432764ddb3
176,7.15,0,Jonielle SMITH,30 JAN 1996,JAM,1h1,"College Station, TX (USA) (i)",09 MAR 2018,1168,66297c721a7e37432764ddb4
176,7.15,0,Orlann OMBISSA-DZANGUE,26 MAY 1991,FRA,1h1,Paris (FRA) (i),27 JAN 2019,1168,66297c721a7e37432764ddb5
176,7.15,0,Kristal AWUAH,07 AUG 1999,GBR,4,"Emirates Arena, Glasgow (GBR) (i)",02 MAR 2019,1168,66297c721a7e37432764ddb6
176,7.15,0,Cambrea STURGIS,27 MAR 1999,USA,1,"Nutter Fieldhouse, Lexington, KY (USA) (i)",11 JAN 2020,1168,66297c721a7e37432764ddb7
176,7.15,0,Joella LLOYD,12 APR 2002,ANT,1,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 FEB 2021,1168,66297c721a7e37432764ddb8
176,7.15,0,Jada BAYLARK,17 OCT 1997,USA,3h2,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",12 MAR 2021,1168,66297c721a7e37432764ddb9
176,7.15,0,Talitha DIGGS,22 AUG 2002,USA,1,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",10 FEB 2023,1168,66297c721a7e37432764ddba
176,7.15,0,Ezinne ABBA,01 NOV 2000,USA,6h2,"Convention Center, Albuquerque, NM (USA) (i)",10 MAR 2023,1168,66297c721a7e37432764ddbb
368,7.21,0,Rayniah JONES,28 SEP 2001,USA,5h1,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",11 MAR 2022,1147
368,7.21,0,Claudia PAYTON,13 APR 1998,SWE,3h1,"Štark Arena, Beograd (SRB) (i)",18 MAR 2022,1147
368,7.21,0,Maboundou KONÉ,16 MAY 1997,CIV,3,"Convention Center, Albuquerque, NM (USA) (i)",21 JAN 2023,1147
368,7.21,0,Sarah ATCHO,01 JUN 1995,SUI,2,"Athletik Zentrum, St. Gallen (SUI) (i)",18 FEB 2023,1147
368,7.21,0,Alicia BURNETT,2002,USA,2,"Ahearn Field House, Manhattan, KS (USA) (i)",02 FEB 2024,1147
368,7.21,0,Salomé KORA,08 JUN 1994,SUI,2sf1,"Athletik Zentrum, St. Gallen (SUI) (i)",17 FEB 2024,1147
368,7.21,0,Ackelia SMITH,05 FEB 2002,JAM,1h4,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,1147
368,7.21,0,Audrey LEDUC,09 MAR 1999,CAN,6sf1,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1147
409,7.22,0,Mona-Lisa PURSIAINEN,21 JUN 1951,FIN,1sf1,"Scandinavium, Göteborg (SWE) (i)",10 MAR 1974,1144
409,7.22,0,Lyudmila STOROZHKOVA,19 NOV 1955,URS,3,"Ferry-Dusika-Halle, Wien (AUT) (i)",25 FEB 1979,1144
409,7.22,0,Ines GEIPEL-SCHMIDT,07 JUL 1960,GDR,2,Budapest (HUN) (i),03 FEB 1984,1144
409,7.22,0,Natalya TOCHILOVA-YUDAKOVA,21 MAY 1964,URS,sf,Moskva (URS) (i),20 FEB 1988,1144
409,7.22,0,Yelena MIZERA,20 FEB 1966,URS,sf,Chelyabinsk (URS) (i),03 FEB 1990,1144
409,7.22,0,Iolanda OANTA,11 OCT 1965,ROU,1,Bucureşti (ROU) (i),07 FEB 1992,1144
409,7.22,0,Mirela DULGHERU-RENDA,05 OCT 1966,ROU,1,Bacãu (ROU) (i),23 JAN 1993,1144
409,7.22,0,Éva BARATI,27 DEC 1968,HUN,1,Budapest (HUN) (i),26 FEB 1994,1144
409,7.22,0,Sanna KYLLÖNEN,09 MAR 1971,FIN,1,Tampere (FIN) (i),25 FEB 1995,1144
409,7.22,0,Aleisha LATIMER,03 APR 1979,USA,3,"Atlanta, GA (USA) (i)",28 FEB 1997,1144
409,7.22,0,Tameka ROBERTS,18 MAY 1974,USA,sf,"Atlanta, GA (USA) (i)",27 FEB 1999,1144
409,7.22,0,Diane ALLAHGREEN-HAWKINS,21 FEB 1975,GBR,1,Birmingham (GBR) (i),15 JAN 2000,1144
409,7.22,0,Marion WAGNER,01 FEB 1978,GER,2,Dortmund (GER) (i),25 FEB 2001,1144
409,7.22,0,Johanna MANNINEN,04 APR 1980,FIN,2,"Schleyer Halle, Stuttgart (GER) (i)",02 FEB 2003,1144
409,7.22,0,Sylvie MBALLA ELOUNDOU,21 APR 1977,CMR,2h5,"Olimpiyskiy Stadion, Moskva (RUS) (i)",10 MAR 2006,1144
409,7.22,0,Nickeisha ANDERSON,15 MAR 1985,JAM,1,"Lincoln, NE (USA) (i)",01 MAR 2008,1144
409,7.22,0,Lynne LAYNE,01 APR 1988,USA,2f1,"Lexington, KY (USA) (i)",01 MAR 2009,1144
409,7.22,0,Sheniqua FERGUSON,24 NOV 1989,BAH,1,"Clemson, SC (USA) (i)",29 JAN 2010,1144
409,7.22,0,Stormy KENDRICK,06 JAN 1991,USA,1,"Blacksburg, VA (USA) (i)",21 JAN 2011,1144
409,7.22,0,Semoy HACKETT,27 NOV 1988,TTO,1h2,"College Station, TX (USA) (i)",11 MAR 2011,1144
409,7.22,0,Jeneba TARMOH,27 SEP 1989,USA,4h2,"Fayetteville, AR (USA) (i)",11 FEB 2012,1144
409,7.22,0,Leslie COLE,16 FEB 1987,USA,4sf1,"Albuquerque, NM (USA) (i)",26 FEB 2012,1144
409,7.22,0,Sophie PAPPS,06 OCT 1994,GBR,2h2,"National Indoor Arena, Birmingham (GBR) (i)",15 FEB 2014,1144
409,7.22,0,Desiree HENRY,26 AUG 1995,GBR,3,Praha (CZE) (i),25 FEB 2014,1144
409,7.22,0,Cierra WHITE,29 APR 1993,USA,2f1,"Albuquerque, NM (USA) (i)",07 FEB 2015,1144
409,7.22,0,Stephanie KALU,08 MAY 1993,NGR,1,"Frisco, TX (USA) (i)",10 FEB 2017,1144
409,7.22,0,Jura LEVY,04 NOV 1990,JAM,2,Łódź (POL) (i),16 FEB 2017,1144
409,7.22,0,Naomi SEDNEY,17 DEC 1994,NED,3,Apeldoorn (NED) (i),17 FEB 2018,1144
409,7.22,0,Malaika MIHAMBO,03 FEB 1994,GER,2,"Quarterback Immobilien Arena, Leipzig (GER) (i)",22 FEB 2020,1144
409,7.22,0,Aaliyah BIRMINGHAM,02 SEP 1997,USA,2,"Lied Recreation Center, Ames, IA (USA) (i)",29 FEB 2020,1144
409,7.22,0,Alfreda STEELE,19 DEC 1997,USA,5,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",13 MAR 2021,1144
409,7.22,0,Sophia JUNK,01 MAR 1999,GER,3,"Quarterback Immobilien Arena, Leipzig (GER) (i)",26 FEB 2022,1144
409,7.22,+2.0,Shockoria WALLACE,09 AUG 1993,JAM,4f2,"National Stadium, Kingston (JAM)",25 FEB 2023,1144
409,7.22,0,Kennedy BLACKMON,02 OCT 1999,USA,4,"Sports Performance Center, Lubbock, TX (USA) (i)",25 FEB 2023,1144
409,7.22,0,Camryn DICKSON,19 JUN 2004,USA,1h1,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",13 JAN 2024,1144
409,7.22,0,Mia BRAHE-PEDERSEN,28 NOV 2005,USA,1,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",13 JAN 2024,1144
409,7.22,0,Julia HENRIKSSON,11 JUL 2000,SWE,1,"Eva Lisa Holtz Arena, Karlstad (SWE) (i)",17 FEB 2024,1144
409,7.22,0,Hannah WALLER,19 DEC 2001,USA,1,"Convention Center, Albuquerque, NM (USA) (i)",24 FEB 2024,1144
409,7.22,0,Kiley ROBBINS,2002,USA,1,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA) (i)",24 FEB 2024,1144
409,7.22,0,Adaejah HODGE,21 MAR 2006,IVB,2,"The Track at New Balance, Boston, MA (USA) (i)",10 MAR 2024,1144
449,7.23,0,Olga KOROTKOVA,26 FEB 1960,URS,1,Minsk (BLR) (i),06 FEB 1981,1141
449,7.23,0,Bärbel WÖCKEL,21 MAR 1955,GDR,3,Senftenberg (GER) (i),14 FEB 1981,1141
449,7.23,0,Paula DUNN-THOMAS,03 DEC 1964,GBR,3sf2,"Arena Stade Couvert, Liévin (FRA) (i)",22 FEB 1987,1141
449,7.23,0,Sandra MYERS,09 JAN 1961,ESP,2,Madrid (ESP) (i),13 MAR 1990,1141
449,7.23,0,Heike DRECHSLER,16 DEC 1964,GER,2,Osaka (JPN) (i),11 FEB 1992,1141
449,7.23,0,Svetlana DOLMATOVA,17 APR 1971,RUS,2h3,Moskva (RUS) (i),26 JAN 1993,1141
449,7.23,0,Patricia FOUFOUÉ-ZIGA,08 MAR 1972,CIV,1,Liévin (FRA) (i),28 FEB 1993,1141
449,7.23,0,Esther JONES,07 APR 1969,USA,2,"Atlanta, GA (USA) (i)",05 MAR 1994,1141
449,7.23,0,Natalya SHATALOVA,1973,RUS,1,Moskva (RUS) (i),24 JAN 1995,1141
449,7.23,0,Linda FERGA-KHODADIN,24 DEC 1976,FRA,1,Eaubonne (FRA) (i),01 FEB 1997,1141
449,7.23,0,Silke LICHTENHAGEN,20 NOV 1973,GER,sf,Dortmund (GER) (i),23 FEB 1997,1141
449,7.23,0,Svetlana BODRITSKAYA,07 NOV 1971,KAZ,1,Samara (RUS) (i),01 MAR 1997,1141
449,7.23,0,Jerneja PERC,17 FEB 1971,SLO,3,Sindelfingen (GER) (i),01 MAR 1997,1141
449,7.23,0,Anna TKACH,17 APR 1975,RUS,3,Moskva (RUS) (i),06 JAN 1998,1141
449,7.23,0,Maria TSONI,30 JUL 1963,GRE,1,Pireaus (GRE) (i),01 FEB 1998,1141
449,7.23,0,Peta-Gaye DOWDIE,18 JAN 1977,JAM,1,"Blacksburg, VA (USA) (i)",06 FEB 1999,1141
449,7.23,0,Olena PASTUSHENKO,14 JUL 1979,UKR,h,Kyiv (UKR) (i),21 JAN 2000,1141
449,7.23,0,Oksana GUSKOVA-KAYDASH,16 JUN 1974,UKR,2,Lviv (UKR) (i),02 FEB 2000,1141
449,7.23,0,Agné VISOCKAITĖ-EGGERTH,04 AUG 1978,LTU,1,Kaunas (LTU) (i),21 FEB 2003,1141
449,7.23,0,Elva GOULBOURNE,21 JAN 1980,JAM,2h3,"Fayetteville, AR (USA) (i)",14 MAR 2003,1141
449,7.23,0,Yuliya SKOTNIKOVA,1975,RUS,3,Moskva (RUS) (i),01 FEB 2004,1141
449,7.23,0,Toyin OLUPONA,29 JAN 1983,CAN,3,"Lexington, KY (USA) (i)",29 FEB 2004,1141
449,7.23,0,Priscilla SCHLIEP,26 AUG 1982,CAN,1,"Lincoln, NE (USA) (i)",26 FEB 2005,1141
449,7.23,0,Lakecia EALEY,22 JAN 1986,USA,4,"Fayetteville, AR (USA) (i)",15 MAR 2008,1141
449,7.23,0,Mechelle LEWIS,20 SEP 1980,USA,4f1,Düsseldorf (GER) (i),13 FEB 2009,1141
449,7.23,0,Christina MANNING,29 MAY 1990,USA,1,"Lincoln, NE (USA) (i)",25 FEB 2012,1141
449,7.23,0,TyNia GAITHER,16 MAR 1993,BAH,2f2,"Seattle, WA (USA) (i)",28 FEB 2015,1141
